FAULT_ID	CITATION
313	Map of Italy, 1987
314	Map of Italy, 1987
315	Map of Italy, 1987
316	Map of Italy, 1987
317	Map of Italy, 1987
318	Map of Italy, 1987
319	Map of Italy, 1987
320	Map of Italy, 1987
321	Map of Italy, 1987
322	Map of Italy, 1987
323	Galadini et al., 2001
323	Map of Italy, 1987
324	Map of Italy, 1987
325	Map of Italy, 1987
326	Map of Italy, 1987
327	Map of Italy, 1987
328	Map of Italy, 1987
329	Map of Italy, 1987
330	Map of Italy, 1987
331	Map of Italy, 1987
332	Map of Italy, 1987
333	Map of Italy, 1987
334	Map of Italy, 1987
335	Basili et al., 2013
336	Galadini et al., 2001
336	Map of Italy, 1987
337	Basili et al., 2013
338	Map of Italy, 1987
339	Map of Italy, 1987
340	Map of Italy, 1987
341	Map of Italy, 1987
342	Map of Italy, 1987
343	Castaldini et al., 1991
344	Castaldini et al., 1991
345	Castaldini et al., 1991
345	Galadini et al., 2001
346	Castaldini et al., 1991
346	Galadini et al., 2001
347	Castaldini et al., 1991
348	Basili et al., 2013
348	Castaldini et al., 1991
348	Galadini et al., 2001
349	Basili et al., 2013
349	Galadini et al., 2001
349	Pantosti et al., 1995
350	Pantosti et al., 1995
351	Galadini et al., 2001
351	Pantosti et al., 1995
352	Basili et al., 2013
352	Blumetti, 1995
352	Galadini et al., 2001
352	Pantosti et al., 1995
353	Castaldini et al., 1991
354	Castaldini et al., 1991
355	Castaldini et al., 1991
356	Castaldini et al., 1991
356	Galadini et al., 2001
357	Castaldini et al., 1991
357	Galadini et al., 2001
358	Basili et al., 2013
358	Castaldini et al., 1991
358	Galadini et al., 2001
359	Castaldini et al., 1991
360	Basili et al., 2013
360	Castaldini et al., 1991
361	Castaldini et al., 1991
362	Castaldini et al., 1991
363	Castaldini et al., 1991
364	Castaldini et al., 1991
365	Castaldini et al., 1991
366	Castaldini et al., 1991
366	Galadini et al., 2001
367	Castaldini et al., 1991
368	Trifonov, data 1988
369	Michetti et.al., 1995
370	Pantosti et al., 1995
371	Pantosti et al., 1995
372	Basili et al., 2013
372	Galadini et al., 2001
372	Pantosti et al., 1995
373	Trifonov, data 1996
374	Galadini et al., 2001
374	Pantosti et al., 1995
375	Trifonov, data 1996
376	Pantosti et al., 1995
377	Map of Italy, 1991
378	Blumetti, 1995
378	Pantosti et al., 1995
379	Pantosti et al., 1993
380	Blumetti et al., 1993
380	Galadini et al., 2001
380	Kozhurin, data 1996
380	Pantosti et al., 1995
380	Serva et al., 1986
381	Galadini et al., 2001
381	Trifonov, data 1996
382	Castaldini et al., 1991
382	Galadini et al., 2001
383	Galadini et al., 2001
383	Trifonov, data 1996
384	Trifonov, data 1996
385	Trifonov, data 1996
386	Trifonov, data 1996
387	Trifonov, data 1996
388	Basili et al., 2013
388	Galadini et al., 2001
388	Trifonov, data 1996
389	Trifonov, data 1996
390	Trifonov, data 1996
391	Basili et al., 2013
392	Basili et al., 2013
392	Trifonov, data 1996
393	Trifonov, data 1996
394	Trifonov, data 1996
395	Galadini et al., 2001
395	Trifonov, data 1996
396	Trifonov, data 1996
397	Basili et al., 2013
397	Galadini et al., 2001
397	Trifonov, data 1996
398	Trifonov, data 1996
399	Trifonov, data 1996
400	Trifonov, data 1996
401	Trifonov, data 1996
402	Galadini et al., 2001
402	Trifonov, data 1996
403	Trifonov, data 1996
404	Trifonov, data 1996
405	Basili et al., 2013
405	Galadini et al., 2001
405	Trifonov, data 1996
406	Trifonov, data 1996
407	Basili et al., 2013
407	Galadini et al., 2001
407	Trifonov, data 1996
408	Trifonov, data 1996
409	Trifonov, data 1996
410	Galadini et al., 2001
410	Trifonov, data 1996
411	Trifonov, data 1996
412	Trifonov, data 1996
413	Galadini et al., 2001
413	Trifonov, data 1996
414	Castaldini et al., 1991
415	Trifonov, data 1996
416	Galadini et al., 2001
416	Trifonov, data 1996
417	Trifonov, data 1996
418	Trifonov, data 1996
419	Castaldini et al., 1991
419	Galadini et al., 2001
420	Trifonov, data 1996
421	Trifonov, data 1996
422	Trifonov, data 1996
423	Trifonov, data 1996
424	Trifonov, data 1996
425	Trifonov, data 1996
426	Trifonov, data 1996
427	Trifonov, data 1996
428	Castaldini et al., 1991
429	Galadini et al., 2001
429	Trifonov, data 1996
430	Castaldini et al., 1991
431	Galadini et al., 2001
431	Trifonov, data 1996
432	Galadini et al., 2001
432	Trifonov, data 1996
433	Trifonov, data 1996
434	Trifonov, data 1996
435	Galadini et al., 2001
435	Trifonov, data 1996
436	Galadini et al., 2001
436	Trifonov, data 1996
437	Castaldini et al., 1991
437	Galadini et al., 2001
438	Galadini et al., 2001
438	Trifonov, data 1996
439	Trifonov, data 1996
440	Aristarhova et al., 1991
440	Aristarhova, 1989
440	Aristarhova, data 1996
441	Aristarhova et al., 1991
441	Aristarhova, 1989
441	Aristarhova, data 1996
442	Aristarhova et al., 1991
442	Aristarhova, 1989
442	Aristarhova, data 1996
443	Aristarhova et al., 1991
443	Aristarhova, 1989
443	Aristarhova, data 1996
444	Aristarhova et al., 1991
